VideoName,UserIndex,epochCNN
1-1-Conan Gore Fly,1,200
running time,epochs,FirstLoss,FinalLoss
0.892,0.851063829787234,0.45977011494252873,4.35,4.156517505645752
0.888,0.8,0.4,4.0,3.992511510848999
0.888,0.8,0.4,4.0,3.98699951171875
0.888,0.8,0.4,4.0,3.988999605178833
0.887,0.7875,0.39622641509433965,3.975,3.923999547958374
0.887,0.8,0.39751552795031053,4.025,4.019999265670776
0.886,0.8571428571428571,0.3116883116883117,3.85,4.167513847351074
0.864,0.3870967741935484,0.19672131147540983,3.05,4.029513835906982
0.848,0.5375,0.2721518987341772,3.95,4.047062158584595
0.903,0.125,0.2702702702702703,0.925,3.9979989528656006
0.88,0.5714285714285714,0.25,3.2,3.9649977684020996
0.872,1.0,0.2,4.0,3.9845545291900635
0.857,0.6808510638297872,0.2,4.0,3.912001132965088
0.851,0.6037735849056604,0.2,4.0,4.011874437332153
0.851,0.6666666666666666,0.19393939393939394,4.125,3.9330005645751953
0.929,0.16666666666666666,0.20512820512820512,0.975,4.007887125015259
0.796,0.7083333333333334,0.15178571428571427,5.6,4.0157997608184814
0.864,0.6041666666666666,0.19863013698630136,3.65,3.999512195587158
0.892,0.7,0.22580645161290322,3.1,4.088001012802124
0.792,0.8076923076923077,0.175,6.0,4.022561311721802
0.792,0.75,0.2,6.0,4.048000335693359
0.754,0.75,0.17266187050359713,6.95,3.8649537563323975
0.803,0.8085106382978723,0.2980392156862745,6.375,4.026001691818237
0.909,0.7641509433962265,0.5510204081632653,3.675,4.112999439239502
0.842,1.0,0.3416666666666667,6.0,4.061513185501099
0.824,1.0,0.26666666666666666,6.0,4.047001838684082
0.824,0.82,0.3416666666666667,6.0,3.9887421131134033
0.81,0.7857142857142857,0.3464566929133858,6.35,4.123998403549194
0.785,0.8658536585365854,0.2581818181818182,6.875,4.077131032943726
0.83,1.0,0.27350427350427353,5.85,3.9550247192382812
0.823,1.0,0.26556016597510373,6.025,4.09751558303833
0.839,0.78,0.35944700460829493,5.425,4.120539903640747
0.896,0.62,0.484375,3.2,4.018578767776489
0.902,0.76,0.5066666666666667,3.75,3.9805407524108887
0.905,0.6951219512195121,0.44881889763779526,3.175,4.129999399185181
0.896,0.8888888888888888,0.4,4.0,4.0470006465911865
0.807,0.6379310344827587,0.3288888888888889,5.625,4.235041856765747
0.774,0.5564516129032258,0.2875,6.0,4.109030723571777
0.702,1.0,0.28365384615384615,10.4,4.250905752182007
0.738,0.9042553191489362,0.2514792899408284,8.45,3.801060914993286
0.89,0.75,0.46875,4.0,4.018517017364502
0.858,0.5625,0.29605263157894735,3.8,4.079998970031738
0.665,1.0,0.1432225063938619,9.775,3.8435118198394775
0.866,0.8809523809523809,0.37373737373737376,4.95,3.934044122695923
0.907,0.7395833333333334,0.5107913669064749,3.475,4.070525884628296
0.861,0.7647058823529411,0.29714285714285715,4.375,3.9186851978302
0.872,0.75,0.3,4.0,3.9319992065429688
0.86,0.7767857142857143,0.4306930693069307,5.05,3.9579994678497314
0.878,0.65,0.4936708860759494,3.95,3.999028444290161
0.877,0.8240740740740741,0.46113989637305697,4.825,4.051000118255615
0.655,1.0,0.2247191011235955,11.125,4.004607915878296
0.89,0.8571428571428571,0.4235294117647059,4.25,4.057516813278198
0.904,1.0,0.4,4.0,3.837000608444214
0.894,0.8648648648648649,0.4,4.0,3.9650003910064697
0.89,0.775,0.4025974025974026,3.85,3.9860005378723145
0.902,0.9696969696969697,0.4,4.0,4.105002164840698
0.904,1.0,0.4,4.0,4.250999689102173
0.91,0.78125,0.3968253968253968,3.15,3.9559996128082275
0.919,0.34375,0.36065573770491804,1.525,4.006998062133789
0.892,0.6842105263157895,0.38235294117647056,3.4,3.8969976902008057
0.888,0.8,0.4,4.0,3.9069995880126953
0.724,0.9767441860465116,0.2346368715083799,8.95,4.174999952316284
0.867,0.7272727272727273,0.3699421965317919,4.325,4.015054941177368
0.88,0.7272727272727273,0.4,4.0,4.018036127090454
0.847,0.7272727272727273,0.3316062176165803,4.825,3.9709978103637695
0.88,0.7272727272727273,0.4,4.0,4.08908224105835
0.861,0.7901234567901234,0.34408602150537637,4.65,3.9930002689361572
0.828,0.8,0.2909090909090909,5.5,4.0248425006866455
0.794,0.8,0.25196850393700787,6.35,4.028000354766846
0.783,0.8,0.24150943396226415,6.625,4.082998991012573
0.83,0.8,0.29357798165137616,5.45,4.16002345085144
0.845,0.8421052631578947,0.30917874396135264,5.175,4.172515869140625
0.894,0.7934782608695652,0.45625,4.0,4.117999315261841
0.89,0.7589285714285714,0.5059523809523809,4.2,4.059514760971069
0.754,0.8571428571428571,0.294478527607362,8.15,4.213000535964966
0.764,0.9090909090909091,0.2597402597402597,7.7,4.1002280712127686
0.904,1.0,0.4,4.0,3.95500111579895
0.904,1.0,0.4,4.0,3.883568286895752
0.904,1.0,0.4,4.0,3.988954544067383
0.895,1.0,0.378698224852071,4.225,4.025511026382446
0.916,0.09523809523809523,0.5,0.4,3.893545627593994
0.927,0.71875,0.6,2.875,3.8726699352264404
0.936,1.0,0.6,4.0,3.784273386001587
0.905,0.03125,0.6,0.125,3.763183832168579
0.835,0.8888888888888888,0.3855421686746988,6.225,3.7820005416870117
0.923,0.7924528301886793,0.60431654676259,3.475,3.668057441711426
0.106,1.0,0.09696969696969697,24.75,3.666022539138794
0.936,1.0,0.6,4.0,3.929931163787842
0.936,1.0,0.6,4.0,4.01667046546936
0.904,0.0,0,0.0,3.9460010528564453
0.707,1.0,0.2467866323907455,9.725,4.051512956619263
0.936,1.0,0.6,4.0,3.868023633956909
0.936,1.0,0.6,4.0,3.907998561859131
0.935,0.96875,0.6,3.875,3.9265499114990234
